Number,Filter
1,3
2,0
3,0
4,0
5,3
6,3
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3
18,3
19,3
20,0
21,3
22,0
23,0
24,0
25,0
26,0
27,3
28,3
29,0
30,0
31,0
32,3
33,0
34,0
35,0
36,0
37,3
38,3
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,3
48,0
49,0
50,3
51,0
52,0
53,0
54,3
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,3
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,3
107,0
108,3
109,3
110,0
111,3
112,3
113,0
114,3
115,0
116,3
117,0
118,3
119,0
120,3
121,0
122,3
123,3
124,0
125,3
126,0
127,0
128,0
129,0
130,3
131,0
132,0
133,0
134,0
135,3
136,3
137,0
138,0
139,0
140,3
141,3
142,0
143,0
144,0
145,0
146,3
,0
148,0
149,3
150,3
151,3
152,0
153,0
154,0
155,3
156,3
157,0
158,3
159,0
160,3
161,0
162,3
163,3
164,0
165,3
166,0
167,3
168,3
169,0
170,0
171,3
172,3
173,3
174,0
175,3
176,0
177,0
178,0
179,3
180,3
181,0
182,3
183,0
184,0
185,3
186,0
187,3
188,0
189,3
190,0
191,3
192,0
193,3
194,0
196,0
197,0
198,3
199,0
200,0
201,0
203,0
205,0
206,3
207,0
208,0
209,0
210,3
211,3
212,0
213,0
214,0
215,0
216,0
217,0
218,3
219,3
220,0
221,0
222,3
223,0
224,3
225,0
226,3
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,3
245,3
246,3
247,3
248,3
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,3
258,0
259,3
260,0
261,0
262,0
263,3
264,3
265,0
266,0
267,3
268,0
269,0
270,0
271,3
272,0
273,0
274,3
275,0
276,0
277,0
278,3
279,3
280,0
281,0
282,3
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,3
297,0
298,0
299,3
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
